index,vram
427,1702
428,1702
429,1702
430,1702
431,1702
432,1702
433,1702
434,1702
435,1702
436,1702
437,1702
438,1702
439,1702
440,1702
441,1702
442,1702
443,1702
444,1702
445,1702
446,1702
447,1702
448,1702
449,1702
450,1702
451,1702
452,1702
453,1702
454,1702
455,1702
456,1702
457,1702
458,1702
459,1702
460,1702
461,1702
462,1702
463,1702
464,1702
465,1702
466,1702
467,1702
468,1702
469,1702
470,1702
471,1702
472,1702
473,1702
474,1702
475,1702
476,1702
477,1702
478,1702
479,1702
480,1702
481,1702
482,1702
483,1702
484,1702
485,1702
486,1702
487,1702
488,1702
489,1702
490,1702
491,1702
492,1702
493,1702
494,1702
495,1702
496,1702
497,1702
498,1702
499,1702
500,1702
501,1702
502,1702
503,1702
504,1702
505,1702
506,1702
507,1702
508,1702
509,1702
510,1702
511,1702
512,1702
513,1702
514,1702
515,1702
516,1702
517,1702
518,1702
519,1702
520,1702
521,1702
522,1702
523,1702
524,1702
525,1702
526,1702
527,1702
528,1702
529,1702
530,1702
531,1702
532,1702
533,1702
534,1702
535,1702
536,1702
537,1702
538,1702
539,1702
540,1702
541,1702
542,1702
543,1702
544,1702
545,1702
546,1702
547,1702
548,1702
549,1702
550,1702
551,1702
552,1702
553,1702
554,1702
555,1702
556,1702
557,1702
558,1702
559,1702
560,1702
561,1702
562,1702
563,1702
564,1702
565,1702
566,1702
567,1702
568,1702
569,1702
570,1702
571,1702
572,1702
573,1702
574,1702
575,1702
576,1702
577,1702
578,1702
579,1702
580,1702
581,1702
582,1702
583,1702
584,1702
585,1702
586,1702
587,1702
588,1702
589,1702
590,1702
591,1702
592,1702
593,1702
594,1702
595,1702
596,1702
597,1702
598,1702
599,1702
600,1702
601,1702
